age,education,black,hispanic,married,nodegree,re74,re75,re78,u74,u75,treat,id
37,11,1,0,1,1,0,0,9930.05,1,1,1,1
22,9,0,1,0,1,0,0,3595.89,1,1,1,2
30,12,1,0,0,0,0,0,24909.5,1,1,1,3
27,11,1,0,0,1,0,0,7506.15,1,1,1,4
33,8,1,0,0,1,0,0,289.79,1,1,1,5
22,9,1,0,0,1,0,0,4056.49,1,1,1,6
23,12,1,0,0,0,0,0,0,1,1,1,7
32,11,1,0,0,1,0,0,8472.16,1,1,1,8
22,16,1,0,0,0,0,0,2164.02,1,1,1,9
33,12,0,0,1,0,0,0,12418.1,1,1,1,10
19,9,1,0,0,1,0,0,8173.91,1,1,1,11
21,13,1,0,0,0,0,0,17094.6,1,1,1,12
18,8,1,0,0,1,0,0,0,1,1,1,13
27,10,1,0,1,1,0,0,18739.9,1,1,1,14
17,7,1,0,0,1,0,0,3023.88,1,1,1,15
19,10,1,0,0,1,0,0,3228.5,1,1,1,16
27,13,1,0,0,0,0,0,14581.9,1,1,1,17
23,10,1,0,0,1,0,0,7693.4,1,1,1,18
40,12,1,0,0,0,0,0,10804.3,1,1,1,19
26,12,1,0,0,0,0,0,10747.4,1,1,1,20
23,11,1,0,0,1,0,0,0,1,1,1,21
41,14,0,0,0,0,0,0,5149.5,1,1,1,22
38,9,0,0,0,1,0,0,6408.95,1,1,1,23
24,11,1,0,0,1,0,0,1991.4,1,1,1,24
18,10,1,0,0,1,0,0,11163.2,1,1,1,25
29,11,1,0,1,1,0,0,9643,1,1,1,26
25,11,1,0,0,1,0,0,9897.05,1,1,1,27
27,10,0,1,0,1,0,0,11142.9,1,1,1,28
17,10,1,0,0,1,0,0,16218,1,1,1,29
24,11,1,0,0,1,0,0,995.7,1,1,1,30
17,10,1,0,0,1,0,0,0,1,1,1,31
48,4,1,0,0,1,0,0,6551.59,1,1,1,32
25,11,1,0,1,1,0,0,1574.42,1,1,1,33
20,12,1,0,0,0,0,0,0,1,1,1,34
25,12,1,0,0,0,0,0,3191.75,1,1,1,35
42,14,1,0,0,0,0,0,20505.9,1,1,1,36
25,5,1,0,0,1,0,0,6181.88,1,1,1,37
23,12,1,0,1,0,0,0,5911.55,1,1,1,38
46,8,1,0,1,1,0,0,3094.16,1,1,1,39
24,10,1,0,0,1,0,0,0,1,1,1,40
21,12,1,0,0,0,0,0,1254.58,1,1,1,41
19,9,0,0,0,1,0,0,13188.8,1,1,1,42
17,8,1,0,0,1,0,0,8061.49,1,1,1,43
18,8,0,1,1,1,0,0,2787.96,1,1,1,44
20,11,1,0,0,1,0,0,3972.54,1,1,1,45
25,11,1,0,1,1,0,0,0,1,1,1,46
17,8,1,0,0,1,0,0,0,1,1,1,47
17,9,1,0,0,1,0,0,0,1,1,1,48
25,5,1,0,0,1,0,0,12187.4,1,1,1,49
23,12,1,0,0,0,0,0,4843.18,1,1,1,50
28,8,1,0,0,1,0,0,0,1,1,1,51
31,11,1,0,1,1,0,0,8087.49,1,1,1,52
18,11,1,0,0,1,0,0,0,1,1,1,53
25,12,1,0,0,0,0,0,2348.97,1,1,1,54
30,11,1,0,1,1,0,0,590.782,1,1,1,55
17,10,1,0,0,1,0,0,0,1,1,1,56
37,9,1,0,0,1,0,0,1067.51,1,1,1,57
41,4,1,0,1,1,0,0,7284.99,1,1,1,58
42,14,1,0,1,0,0,0,13167.5,1,1,1,59
22,11,0,0,0,1,0,0,1048.43,1,1,1,60
17,8,1,0,0,1,0,0,0,1,1,1,61
29,8,1,0,0,1,0,0,1923.94,1,1,1,62
35,10,1,0,0,1,0,0,4666.24,1,1,1,63
27,11,1,0,0,1,0,0,549.298,1,1,1,64
29,4,1,0,0,1,0,0,762.915,1,1,1,65
28,9,1,0,0,1,0,0,10694.3,1,1,1,66
27,11,1,0,0,1,0,0,0,1,1,1,67
23,7,0,0,0,1,0,0,0,1,1,1,68
45,5,1,0,1,1,0,0,8546.72,1,1,1,69
29,13,1,0,0,0,0,0,7479.66,1,1,1,70
27,9,1,0,0,1,0,0,0,1,1,1,71
46,13,1,0,0,0,0,0,647.205,1,1,1,72
18,6,1,0,0,1,0,0,0,1,1,1,73
25,12,1,0,0,0,0,0,11965.8,1,1,1,74
