q_250,q_10,q_90,q_975,x_mean,index
-497.95195730809655,-475.6762334217537,-394.72731882495486,-372.36325276752274,-435.0016041546322,80
-515.6818733104311,-500.0084953355231,-438.66872344555236,-419.7406149250517,-470.44374827399906,28
-534.971387712448,-518.5495268508904,-467.1898283957532,-452.1256348005497,-492.4081842978306,64
-531.3882412884743,-515.7895735497535,-459.7759669289362,-440.65370830455174,-487.8215754208369,72
-351.27383262298923,-328.0296468251607,-228.82892410290876,-200.92106994833662,-279.16320882499065,4
-436.6176747522117,-411.9611241527591,-308.19378806226587,-280.4254233028594,-359.95573246001396,14
-523.5600283318764,-510.261784776846,-464.1227875042307,-451.51270746167927,-487.4184670629565,53
-359.10964136909615,-336.4065799873823,-248.24950552516273,-224.19493054360737,-292.5142872537175,6
-401.63039112954544,-374.80579752121287,-279.2727940134111,-254.95871560469902,-327.5626161396964,12
-523.5600283318764,-510.261784776846,-464.1227875042307,-451.51270746167927,-487.4184670629565,54
-394.6502043887843,-370.5974920472369,-279.10727746642965,-254.76723626033905,-324.6310310594548,10
-355.5999908897162,-326.74874110016015,-214.79839756018333,-184.10922638946474,-272.2334108020654,1
-488.9117520811455,-465.7986320374864,-376.1251262458577,-349.9595658318797,-421.27087836436687,85
-436.6176747522117,-411.9611241527591,-308.19378806226587,-280.4254233028594,-359.95573246001396,15
-522.711410673666,-509.59313719017274,-463.6436867677041,-450.110476586044,-486.7434529112818,49
-476.22055523044,-454.7736725098912,-353.2804528030838,-326.9840709641734,-404.2778246855467,19
-359.1096413690952,-336.4065799873822,-248.24950552516438,-224.19493054360817,-292.51428725371704,5
-522.5658908521675,-509.70542394411865,-463.3298505298587,-449.677024280322,-486.55240897445697,48
-490.6802249736607,-472.20637009929334,-378.8484922634751,-353.94671401791163,-425.9588221465144,21
-511.87814626316907,-498.26481776921656,-440.8783303954639,-423.5117307895223,-471.26548876546235,31
-516.8339010831683,-497.69756470425455,-412.31346546966495,-388.8966727222237,-455.41261707625625,76
-529.2750629825571,-510.26326371640266,-451.5349020327169,-431.2622517963615,-481.89768816044585,42
-533.1320154796841,-512.7198869327938,-443.77858726038966,-424.01566101380956,-479.05816544593677,40
-530.5022733956697,-514.3006303785112,-466.04508616209085,-451.71591095874027,-490.1880234376493,60
-501.28146851911083,-484.5354437627505,-395.7068144463176,-370.94495834309515,-442.0013069372676,22
-518.1923758358192,-501.4792460742606,-437.6503496039667,-416.58973659792747,-471.2811761025912,35
-500.5850254021671,-484.5354437627485,-393.927211320322,-367.3910459084607,-441.46612395302816,23
-497.53219607404117,-473.460960264481,-390.16878807391356,-367.9827660256289,-431.82011773194,83
-533.1800058365883,-511.90530411940796,-441.3961764062719,-420.9818147608846,-477.6443335772349,37
-488.9117520811447,-465.79863203748783,-376.12512624585827,-349.9595658318787,-421.27087836436647,84
-534.286392140053,-518.0428294894672,-465.22116797018276,-450.39489629668446,-491.1330137304287,69
-498.14887696800827,-474.9896854365664,-394.4130391096853,-374.1114767896119,-434.4995960738644,82
-394.1048417492796,-375.3759205338325,-293.9169943165025,-273.2080906043722,-334.44886896921275,94
