q_250,q_10,q_90,q_975,x_mean,index
-497.9519573080929,-475.676233421753,-394.72731882495395,-372.36325276752274,-435.00160415463233,80
-515.6818733104319,-500.0084953355234,-438.66872344555236,-419.7406149250527,-470.44374827399963,28
-534.9713877124486,-518.549526850887,-467.18982839575045,-452.12563480054877,-492.40818429782996,64
-531.3882412884743,-515.7895735497542,-459.77596692893786,-440.65370830455083,-487.8215754208359,72
-351.2738326229902,-328.02964682516057,-228.82892410290884,-200.92106994833668,-279.163208824991,4
-436.6176747522118,-411.9611241527602,-308.19378806226683,-280.42542330285943,-359.9557324600138,14
-523.5600283318755,-510.2617847768467,-464.1227875042297,-451.5127074616802,-487.41846706295587,53
-359.10964136909524,-336.4065799873831,-248.2495055251611,-224.19493054360643,-292.514287253717,6
-401.63039112954453,-374.80579752121184,-279.27279401340974,-254.95871560470252,-327.56261613969616,12
-523.5600283318755,-510.2617847768467,-464.1227875042297,-451.5127074616802,-487.41846706295587,54
-394.6502043887852,-370.59749204723704,-279.10727746642795,-254.76723626033905,-324.6310310594544,10
-355.5999908897171,-326.74874110016106,-214.79839756018316,-184.1092263894648,-272.23341080206524,1
-488.9117520811447,-465.7986320374871,-376.12512624585725,-349.9595658318797,-421.27087836436675,85
-436.6176747522118,-411.9611241527602,-308.19378806226683,-280.42542330285943,-359.9557324600138,15
-522.711410673666,-509.59313719017183,-463.64368676770425,-450.110476586044,-486.7434529112825,49
-476.2205552304401,-454.7736725098887,-353.2804528030859,-326.9840709641726,-404.2778246855475,19
-359.10964136909524,-336.40657998738243,-248.24950552516273,-224.19493054360817,-292.51428725371693,5
-522.5658908521676,-509.7054239441171,-463.32985052986106,-449.6770242803228,-486.55240897445753,48
-490.6802249736607,-472.20637009929555,-378.84849226347416,-353.9467140179107,-425.9588221465144,21
-511.87814626317,-498.26481776921725,-440.8783303954655,-423.51173078952496,-471.26548876546275,31
-516.8339010831702,-497.6975647042586,-412.31346546966296,-388.8966727222246,-455.4126170762568,76
-529.2750629825571,-510.26326371640266,-451.5349020327196,-431.2622517963624,-481.8976881604454,42
-533.1320154796797,-512.7198869327914,-443.77858726038653,-424.01566101381053,-479.0581654459374,40
-530.5022733956688,-514.3006303785085,-466.04508616209085,-451.71591095873936,-490.1880234376484,60
-501.28146851911265,-484.5354437627495,-395.7068144463179,-370.944958343096,-442.00130693726726,22
-518.1923758358174,-501.479246074257,-437.65034960396315,-416.5897365979328,-471.2811761025913,35
-500.5850254021698,-484.53544376274505,-393.9272113203217,-367.3910459084607,-441.46612395302816,23
-497.5321960740467,-473.4609602644794,-390.1687880739146,-367.98276602562714,-431.8201177319399,83
-533.1800058365883,-511.90530411940796,-441.3961764062719,-420.9818147608837,-477.6443335772341,37
-488.9117520811428,-465.79863203748556,-376.1251262458565,-349.95956583187785,-421.27087836436647,84
-534.2863921400539,-518.0428294894654,-465.2211679701829,-450.39489629668446,-491.1330137304282,69
-498.1488769680073,-474.9896854365656,-394.4130391096836,-374.11147678961015,-434.49959607386404,82
-394.1048417492805,-375.3759205338325,-293.9169943165025,-273.2080906043722,-334.44886896921275,94
