q_250,q_10,q_90,q_975,x_mean,index,caloriesConsumed
-4.249244612635117,-3.7647995414760658,-1.6461400301848268,-0.9055093598807421,-2.7147770459572627,43,27.824683627000148
-8.294721630225833,-7.52048103744892,-4.625418685884981,-3.9436134481284117,-6.1016363810534395,112,36.47879347717394
-16.506736793548672,-15.459938587798174,-11.591399991510947,-10.554406469152186,-13.530583411417844,181,47.70276264967059
-3.3021342025069984,-2.761019084704745,-0.33650401745968495,0.2629628708800679,-1.5750648773062421,31,25.956994606029717
-6.492892457685956,-5.843207453329935,-3.1682893926293674,-2.474953755323498,-4.51610800632796,98,34.357985947592084
-7.271007689047953,-6.677956445138903,-4.135100684668186,-3.540849159389744,-5.3711401306802,109,36.059362275048755
-9.31684680155206,-8.46415731264494,-6.3772302638415,-5.886658533162354,-7.382897235947597,145,40.66363783417387
-5.941323158569217,-5.213073603700889,-2.7319706692752646,-2.2279829032265472,-3.926099880289834,92,33.08241580662528
-19.51452491051528,-18.770961581986327,-16.068232874279495,-15.382854354601433,-17.43173998222755,192,50.87579149322342
-6.740183446674739,-5.909668661532081,-3.2546595827690816,-2.645755637620831,-4.572119276515914,96,33.88970390304268
-9.39109774473939,-8.326265121028667,-5.997070841878857,-5.310459809051483,-7.149996473214672,125,38.34120600634044
-12.995954171061,-12.367850524506231,-9.674749412341896,-8.936111041578378,-11.055470278672342,160,42.85402221970929
-4.607593060140052,-4.030118673737332,-1.73581129777653,-0.917173774868298,-2.934556264747371,78,31.858437155969497
-3.4862669504408976,-2.9446710879995406,-0.47300687281713377,0.17079818632580113,-1.7323959671519689,34,26.68264818440869
-18.329507749704895,-17.32921253956356,-13.054899959803443,-11.875582434715815,-15.226051805794123,187,49.2578316824686
-3.9024928544844717,-3.1140193487227523,-0.17893140893603443,0.7512956267599304,-1.6581293985154992,1,18
-12.13730117063711,-11.266068989329355,-6.844765618758907,-6.209508315721889,-8.832932051935757,156,42.02883664737011
-7.029905704502858,-6.369266587893301,-3.7475395615656844,-3.0081190476390898,-5.041565357444788,104,35.28645374412181
-12.995954171061,-12.367850524506231,-9.674749412341896,-8.936111041578378,-11.055470278672342,163,43.10262953701666
-9.39109774473939,-8.326265121028667,-5.997070841878857,-5.310459809051483,-7.149996473214672,126,38.458121236316934
-20.880087547438567,-19.718000138496404,-16.318955679032204,-15.54994159265409,-17.978050983743348,199,51.72655364199316
-3.2453273478189715,-2.697564434467907,-0.2703186036710737,0.33213755521034105,-1.5066726808415538,27,25.40059344284903
-16.506736793548672,-15.459938587798174,-11.591399991510947,-10.554406469152186,-13.530583411417844,182,47.717105602320565
-19.459244865398798,-18.735604199051497,-15.936605533991989,-15.170069224437592,-17.354220041016948,190,50.63721313778603
-6.797508981537222,-6.168282811254795,-3.4075554353150577,-2.6865611925348967,-4.805612790837666,101,35.03950221462514
-3.90249285448461,-3.1140193487227745,-0.17893140893596055,0.7512956267597861,-1.658129398515527,2,18
-8.404077539731446,-7.915719586117831,-6.052045193411866,-5.517348574116766,-6.996142642030807,131,38.81789842090893
-4.74289207352216,-4.1139686144043,-1.9574708855439487,-1.3424164695457987,-3.0586571510775724,68,30.227534650948773
-9.44937933871334,-8.565864188198763,-6.420897613934558,-5.895810426632487,-7.457609440037598,152,41.33762616239719
-8.362947310217425,-7.784589956781511,-5.417076962214585,-4.677541019765255,-6.685597688889786,115,37.31709368141878
-9.316760458323145,-8.46945935491691,-6.404326681283487,-5.895910671995769,-7.404033135432446,147,40.911508830097
-8.730148827052563,-8.011878491356796,-5.855617002953998,-5.158192901884553,-6.962953193944564,116,37.55168320878119
-13.86906006922646,-12.927536804935817,-10.217277001509727,-9.547040156413399,-11.5573176452828,167,43.60931483049604
-5.70899390135555,-4.953172540765005,-2.4604529828489548,-1.8821721758451224,-3.635029368110453,86,32.72673823609403
-4.902016773412387,-4.174151108196324,-2.124066763335975,-1.6396166836471406,-3.133586210113859,57,28.78659780816194
-4.74289207352216,-4.1139686144043,-1.9574708855439487,-1.3424164695457987,-3.0586571510775724,69,30.23471601046579
-3.874056438328336,-3.0181138615648306,-0.24823156621787051,0.5276668667017548,-1.6195435620594127,11,21.192161766831738
-4.249244612635117,-3.7647995414760658,-1.6461400301848268,-0.9055093598807421,-2.7147770459572627,42,27.779324161890496
-4.6274688139165185,-4.064204987026147,-1.9063929584711983,-1.2731167675277533,-3.0149734775435952,72,30.527504680796273
-5.941323158569217,-5.213073603700889,-2.7319706692752646,-2.2279829032265472,-3.926099880289834,91,33.02789946133188
-4.6075930601403,-4.0301186737373795,-1.7358112977765159,-0.9171737748681801,-2.934556264747342,80,31.93131017254845
-4.465459300569766,-3.665793348655194,-0.4626987220460192,0.28167063486800464,-2.0272696672705544,8,19.32717459866297
-4.355285609174861,-3.858436076463073,-1.8759813967979024,-1.316235814789561,-2.882649742249028,50,28.266359518915134
-18.93007658759185,-18.08569391992098,-14.240962013627486,-13.122988499616625,-16.260591191045865,189,50.22837973878115
-8.487523454037428,-7.978171860118792,-6.0965213921734005,-5.562357631998675,-7.050877104582591,139,39.9799514409659
-19.51452491051525,-18.770961581986274,-16.068232874279424,-15.38285435460132,-17.43173998222753,193,50.92736348464251
-5.708993901355604,-4.9531725407649105,-2.4604529828490853,-1.8821721758452097,-3.635029368110435,84,32.55613020126837
-6.492892457685956,-5.843207453329935,-3.1682893926293674,-2.474953755323498,-4.51610800632796,97,34.27324611839393
-6.78598467911723,-5.924026631849702,-3.1833607123326937,-2.577784088399846,-4.541498495808773,93,33.526708387589906
-3.2453273478189715,-2.697564434467907,-0.2703186036710737,0.33213755521034105,-1.5066726808415538,28,25.409857877540702
-4.355285609174861,-3.858436076463073,-1.8759813967979024,-1.316235814789561,-2.882649742249028,51,28.29370281918365
-19.604254772638544,-18.825090379166546,-16.09540727446664,-15.40899756523994,-17.47507854856691,197,51.5304108458499
-4.62746881391624,-4.064204987026195,-1.9063929584708827,-1.273116767528031,-3.014973477543639,71,30.502023573260047
-15.462806594090836,-14.212317806054727,-10.827073715757962,-9.98123231675331,-12.490147956865776,177,45.205724094807366
-3.486266950440957,-2.9446710879995805,-0.4730068728171793,0.17079818632563343,-1.7323959671519413,32,26.619418984040152
-4.465459300569766,-3.6657933486552112,-0.46269872204597656,0.2816706348680011,-2.0272696672705623,7,19.272974068421398
-5.204805466495432,-4.509719601318516,-2.2089630805065803,-1.450762463008846,-3.314936136463516,82,32.41623124992022
-12.511876063027955,-11.841216879624813,-7.39720935083352,-6.548425702110819,-9.828579571781122,157,42.48690021446907
-14.809011801729728,-13.480628365228398,-10.30218731906773,-9.611160645307326,-11.829349610759088,170,44.113838421872664
-16.865324092519458,-15.83183187504691,-11.909047717627569,-10.906446922702884,-13.85583083185283,184,48.37295013860796
-3.8408410602661105,-3.0330370975657472,-0.17589261813162083,0.6948529624666113,-1.6091159277097182,9,20.694062345881164
-19.604254772638523,-18.825090379166554,-16.095407274466645,-15.408997565239968,-17.475078548566938,195,51.249940150041994
-5.7475165598477505,-4.743861134767689,-2.2449109903129396,-1.741052623876472,-3.4001912426698575,60,29.374845336048914
-7.670744895439814,-7.008214276439978,-4.185072763226515,-3.468629010281519,-5.588204149078246,111,36.265318100480975
-8.404077539731446,-7.915719586117831,-6.052045193411866,-5.517348574116766,-6.996142642030807,133,39.04987837984576
-4.791266710477498,-4.098890636212724,-2.023693808480823,-1.44321052644105,-3.0497979651919938,52,28.440039155070416
-4.465459300569766,-3.665793348655194,-0.4626987220460192,0.28167063486800464,-2.0272696672705544,6,19.00922404028701
-4.452645349148614,-3.925406597807847,-1.6650591346949535,-0.8292180932220969,-2.859037753615095,74,31.165659268386875
-7.1737382774412435,-6.5778938440524,-4.010471542692247,-3.4228353826374573,-5.270030345141789,106,35.67343923457794
-4.249244612635143,-3.7647995414760516,-1.646140030184915,-0.9055093598808253,-2.7147770459573075,44,27.836107114693526
