h1,z,bugs
1.8849281710479786,0,1
6.954666406104953,1,0
5.052793649710875,1,0
2.345911094948426,0,1
2.1691176942435897,1,1
6.557171754663846,1,0
3.107910347286716,0,1
5.042362312055644,1,0
6.826100702386611,0,0
7.044756718258799,1,0
6.003305895245674,1,0
1.783019073743249,0,1
6.558143498739035,1,0
6.541669079211447,0,0
3.130097314104875,0,1
5.67296248827397,1,0
5.695462506312288,1,0
1.72840414708074,0,1
2.435751829768495,0,1
6.283153302582145,0,0
5.70585240173763,1,0
3.7615322469859978,0,1
5.427283791881467,1,0
3.0905947571653805,0,1
4.306046384644212,0,1
3.352019894370705,0,1
2.203109725003669,0,1
1.1679069762887895,0,1
7.106593275377888,1,0
4.5442902286430105,0,0
2.7966547115706466,0,1
3.7800695217891755,0,1
7.394959478323638,1,0
6.288547675172009,1,0
7.021985975727015,1,0
5.6705757050590675,1,0
3.9419697919156365,1,0
5.185793486217688,0,0
4.080272371178637,1,1
6.859194542972869,0,0
5.413977605770647,1,0
1.0380970436877184,0,1
1.4810102606731887,0,1
2.1396193153001284,0,1
5.104007228554029,1,0
5.480806905055638,1,0
2.438240248926988,1,1
3.372123840459553,0,1
7.270024819426865,1,0
6.50762965936927,1,0
7.313731107959532,0,0
4.734977362714655,0,1
5.025173284069706,1,0
4.487714263119509,1,0
7.5002910704281796,0,0
5.240148433703005,1,0
5.73528317483401,1,0
2.149261511085636,1,1
3.2191433905684455,1,1
5.101518415360079,1,0
1.3417358743449987,1,1
5.861586186179717,1,0
7.256703495219275,1,0
5.039113110054394,0,0
5.507221134732575,1,0
5.405550587406099,0,0
6.675748988055776,0,0
5.397204743261294,0,0
1.3340478846567363,0,1
4.249681633525823,0,1
1.4688619718813358,0,1
3.3565901419437147,0,1
2.3412220292207824,0,1
8.313695850601738,0,0
2.985029865635084,0,1
6.292141446935054,1,0
2.281838692901482,0,1
6.078717698994097,1,0
2.529431575632824,0,1
5.283318467530003,1,0
1.3888300687367363,0,1
8.565287344918751,1,0
3.1532549539076613,0,1
2.4068216884423244,0,1
2.4055770650205197,0,1
4.515266787721158,1,0
5.237324799884572,1,0
2.7080637935396115,0,1
5.06842996050727,1,0
5.755729760677346,0,0
5.931005146898498,1,0
5.164094484601668,0,0
3.991405427988744,0,1
2.496320539586482,1,1
6.143813101389736,0,0
3.046064556210204,0,1
2.2383952150941058,0,1
2.5613589284299656,0,1
6.735065582454664,0,0
3.6338167378831203,0,1
4.238744327117728,0,1
3.2318962062923076,0,1
4.720577334141465,1,0
6.09734053225818,1,0
3.0695743692981954,0,1
7.454728908747133,1,0
6.905589579563923,1,0
5.903923711872645,0,0
5.1494675609462215,0,0
3.2694721116437617,0,1
0.7410009982366033,0,1
5.219674414978135,1,0
3.9020909234075463,0,1
5.210883178876834,1,0
4.5893647954901375,1,0
5.896164697246121,1,0
7.186624373094066,1,0
2.2855142465051963,0,1
5.825609222616216,1,0
5.788275613310736,1,0
3.113389734648979,0,1
6.374969964173751,0,0
7.914910930399856,1,0
5.660981399209504,1,0
2.2973443747306135,0,1
5.385828613290117,1,0
6.386185601434665,1,0
4.263379536228601,0,1
6.9829075132305185,1,0
2.0942575261188843,0,1
6.70923642521013,0,0
2.6058688030066604,1,1
7.125286410316343,0,0
5.848253648381392,1,0
4.109197294197325,0,1
5.260982900777123,1,0
5.765086293491568,1,0
5.8541127228069225,1,0
4.891204403289351,0,1
2.66837590825401,0,1
6.208743354794764,0,0
4.734481931957018,0,1
6.820388073717668,1,0
3.5601573360922076,0,1
5.636202862716655,0,0
1.924774750356212,1,0
6.842508923899755,1,0
4.831981227502178,0,1
6.845316964560876,0,0
3.330577090792456,0,1
3.4216837895719454,0,1
5.564944466449648,0,0
6.829245787466502,1,0
4.431417656605497,0,0
5.522375790140454,1,0
6.103547728644428,0,0
7.703606624116359,1,0
1.8054080899327494,0,1
2.2778074537872572,0,1
3.0030132082734524,0,1
4.503726731897697,1,1
7.015560273683152,1,0
2.626770208670894,0,1
4.877903404941306,1,0
5.604247319453001,0,1
7.111004806175248,1,0
3.139549077943413,0,1
6.406164472900182,1,0
5.712362308521605,0,0
5.639676548660615,1,0
3.242434014732549,1,1
2.7631435818375825,0,1
2.422411221428982,0,1
5.929139513812008,1,0
2.4292131529283933,0,1
6.921662357551743,1,0
1.1050217943978382,0,1
6.2037674294760725,0,0
6.369133966945973,1,0
4.838600215726556,1,0
3.8216397990751823,1,0
6.230660935573751,1,0
5.310347623087626,1,0
6.449945988971412,1,0
6.5469328370958415,0,0
4.886894271523486,1,0
4.295140597101362,0,1
6.237357960981661,1,0
5.903304710780626,0,0
3.3941476339908663,0,1
4.53723046841532,0,1
6.369382266294807,0,0
5.368975664663819,1,0
2.803847301019174,0,1
6.180098686197436,1,0
2.6098801619717835,0,1
3.017414212545443,0,1
5.708808896969127,0,0
4.165801566901006,0,1
5.432082292135622,0,1
6.468552384159784,1,0
4.699418464720489,1,0
5.747332869360218,1,0
6.965691984744151,1,0
2.968457598431663,0,1
4.607907061432261,1,0
