q_250,q_10,q_90,q_975,x_mean,index,caloriesConsumed
-497.9519573080929,-475.676233421753,-394.72731882495395,-372.36325276752274,-435.00160415463233,80,743.4177638497204
-515.6818733104319,-500.0084953355234,-438.66872344555236,-419.7406149250527,-470.44374827399963,28,282.8713629860431
-534.9713877124486,-518.549526850887,-467.18982839575045,-452.12563480054877,-492.40818429782996,64,507.6002979185432
-531.3882412884743,-515.7895735497542,-459.77596692893786,-440.65370830455083,-487.8215754208359,72,576.6627539414912
-351.2738326229902,-328.02964682516057,-228.82892410290884,-200.92106994833668,-279.163208824991,4,32.19254198484123
-436.6176747522118,-411.9611241527602,-308.19378806226683,-280.42542330285943,-359.9557324600138,14,143.42828490771353
-523.5600283318755,-510.2617847768467,-464.1227875042297,-451.5127074616802,-487.41846706295587,53,447.19028705731034
-359.10964136909524,-336.4065799873831,-248.2495055251611,-224.19493054360643,-292.514287253717,6,56.88573722727597
-401.63039112954453,-374.80579752121184,-279.27279401340974,-254.95871560470252,-327.56261613969616,12,115.29932357370853
-523.5600283318755,-510.2617847768467,-464.1227875042297,-451.5127074616802,-487.41846706295587,54,449.2144542746246
-394.6502043887852,-370.59749204723704,-279.10727746642795,-254.76723626033905,-324.6310310594544,10,91.80173487402499
-355.5999908897171,-326.74874110016106,-214.79839756018316,-184.1092263894648,-272.23341080206524,1,0.13539381325244904
-488.9117520811447,-465.7986320374871,-376.12512624585725,-349.9595658318797,-421.27087836436675,85,820.295876590535
-436.6176747522118,-411.9611241527602,-308.19378806226683,-280.42542330285943,-359.9557324600138,15,147.97026640735567
-522.711410673666,-509.59313719017183,-463.64368676770425,-450.110476586044,-486.7434529112825,49,435.2769344113767
-476.2205552304401,-454.7736725098887,-353.2804528030859,-326.9840709641726,-404.2778246855475,19,181.11730832606554
-359.10964136909524,-336.40657998738243,-248.24950552516273,-224.19493054360817,-292.51428725371693,5,54.56468486227095
-522.5658908521676,-509.7054239441171,-463.32985052986106,-449.6770242803228,-486.55240897445753,48,433.67919605225325
-490.6802249736607,-472.20637009929555,-378.84849226347416,-353.9467140179107,-425.9588221465144,21,201.80021994747221
-511.87814626317,-498.26481776921725,-440.8783303954655,-423.51173078952496,-471.26548876546275,31,297.97108983621
-516.8339010831702,-497.6975647042586,-412.31346546966296,-388.8966727222246,-455.4126170762568,76,641.301933908835
-529.2750629825571,-510.26326371640266,-451.5349020327196,-431.2622517963624,-481.8976881604454,42,396.48770238272846
-533.1320154796797,-512.7198869327914,-443.77858726038653,-424.01566101381053,-479.0581654459374,40,373.05023544467986
-530.5022733956688,-514.3006303785085,-466.04508616209085,-451.71591095873936,-490.1880234376484,60,487.0704591739923
-501.28146851911265,-484.5354437627495,-395.7068144463179,-370.944958343096,-442.00130693726726,22,232.73547645658255
-518.1923758358174,-501.479246074257,-437.65034960396315,-416.5897365979328,-471.2811761025913,35,324.30650223977864
-500.5850254021698,-484.53544376274505,-393.9272113203217,-367.3910459084607,-441.46612395302816,23,240.52815954200923
-497.5321960740467,-473.4609602644794,-390.1687880739146,-367.98276602562714,-431.8201177319399,83,773.044315399602
-533.1800058365883,-511.90530411940796,-441.3961764062719,-420.9818147608837,-477.6443335772341,37,358.6075156927109
-488.9117520811428,-465.79863203748556,-376.1251262458565,-349.95956583187785,-421.27087836436647,84,816.267705289647
-534.2863921400539,-518.0428294894654,-465.2211679701829,-450.39489629668446,-491.1330137304282,69,553.336993092671
-498.1488769680073,-474.9896854365656,-394.4130391096836,-374.11147678961015,-434.49959607386404,82,762.648276053369
-394.1048417492805,-375.3759205338325,-293.9169943165025,-273.2080906043722,-334.44886896921275,94,949.4310086593032
-401.63039112954453,-374.80579752121184,-279.27279401340974,-254.95871560470252,-327.56261613969616,11,111.63869290612638
-384.92887775483655,-360.3638626245075,-266.81567267466943,-241.80372135729093,-313.3035099686221,9,80.8184570632875
-531.3882412884742,-515.7895735497525,-459.77596692893945,-440.65370830455174,-487.82157542083667,73,582.8805968631059
-388.3932362080805,-364.6362172008412,-271.604038589801,-242.50894127959927,-319.98655993006406,100,998.7861497793347
-524.7930952507617,-505.44257336618927,-441.52101905799856,-419.9292294575145,-475.13322880246847,36,335.2851513773203
-436.7851617235225,-410.78663013810274,-314.23548570073774,-290.4884164657812,-361.6773328241136,89,884.6210711635649
-527.0698449006782,-512.8503333635251,-465.4784745696859,-451.7151839797601,-489.18016705194765,57,479.02421676553786
-533.1162391839307,-517.9298213602688,-467.49720801260617,-454.2456875295854,-492.1813640309184,65,522.2810602281243
-516.5998534469608,-500.8025314707785,-439.9949599562776,-419.71544788539796,-472.0572020888758,33,313.5729555506259
-519.5983235168887,-500.22207473867047,-414.09379114211094,-390.6164966258591,-457.50596258362935,77,660.7185169123113
-514.6510892211302,-498.73117806500335,-436.2330159808463,-414.75491831053637,-468.89207520181077,27,276.4696574304253
-470.7576161912862,-446.9203471410304,-343.09471504001266,-316.3631808086341,-394.62773236616414,18,176.3385336380452
-522.7114106736651,-509.5931371901736,-463.6436867677041,-450.110476586044,-486.7434529112817,52,444.1968339961022
-510.60777529215545,-494.61826348908073,-421.10685107109066,-396.8399368529119,-460.1896397953534,24,255.47818560153246
-511.87814626317,-498.26481776921725,-440.8783303954655,-423.51173078952496,-471.26548876546275,30,296.87698697671294
-530.5022733956724,-514.3006303785102,-466.04508616209085,-451.71591095873936,-490.18802343764867,59,486.4131088834256
-530.5022733956724,-514.3006303785102,-466.04508616209085,-451.71591095873936,-490.18802343764867,61,493.73587034642696
-353.2228101542669,-325.53462799426495,-221.2609959527672,-188.89816310927574,-274.4038295781558,2,11.966480640694499
-360.42724600025383,-338.87130754115265,-251.66645750793202,-227.57455965326858,-295.05062372238547,7,71.25265221111476
-511.8781462631682,-498.2648177692201,-440.87833039546393,-423.51173078952587,-471.26548876546264,32,300.22693891078234
-518.0870669688453,-497.2941921208502,-410.8110317868944,-387.9476411571032,-454.33448164435384,78,675.7710378151387
-436.7851617235225,-410.78663013810274,-314.23548570073774,-290.4884164657812,-361.6773328241136,88,882.5888349674642
-532.2896484101727,-516.6855095806482,-462.24402799442504,-443.578564387628,-489.1332847281051,70,566.197311738506
-404.46460076800844,-382.8636315381156,-301.0572662759044,-278.9654511971724,-341.83137172219904,92,935.1923011709005
-526.2125887071132,-510.5012040257976,-462.245227591855,-447.400062115253,-486.7097297708283,44,416.0794655326754
-532.289648410172,-516.6855095806476,-462.2440279944255,-443.578564387628,-489.1332847281044,71,572.7436519227922
-428.72353253998386,-399.9741880969411,-298.2720673092089,-270.40064244057766,-349.3080491231532,13,136.9118259754032
-525.5836300112506,-510.65932830363084,-446.1709761688563,-420.1029270025496,-479.9005505424991,56,472.6720417384058
-533.1320154796797,-512.7198869327929,-443.7785872603872,-424.01566101380877,-479.05816544593716,41,375.01935265026987
-394.1048417492805,-375.3759205338325,-293.9169943165025,-273.2080906043722,-334.44886896921275,95,950.6036371458322
-527.0698449006737,-512.8503333635216,-465.4784745696872,-451.71518397975916,-489.18016705194697,58,484.3046853784472
-407.4525859045499,-385.73368493387125,-302.508481546846,-280.40823604852324,-343.9220383534906,91,923.0595466215163
-406.65735747159584,-383.80666904685427,-300.33354131852,-277.8801313204651,-341.78053875925127,93,940.6345286406577
-360.4272460002539,-338.87130754115265,-251.66645750793387,-227.57455965326858,-295.05062372238564,8,75.80282259732485
-531.7938132149311,-514.9746288247637,-447.6018706294515,-422.89275102705886,-482.2880233376426,74,602.5039730593562
-534.2863921400539,-518.0428294894654,-465.2211679701829,-450.39489629668446,-491.1330137304282,68,550.0376243144274
-394.1048417492806,-375.3759205338326,-293.91699431650056,-273.2080906043723,-334.44886896921236,96,954.6617835294455
-497.95195730809843,-475.6762334217532,-394.7273188249539,-372.36325276752177,-435.0016041546326,81,749.6663325000554
-351.7491636717297,-326.22766371416765,-225.94616370597095,-195.98610576235035,-276.85017473657206,3,25.227035162970424
-537.2299945765959,-519.6817159198029,-466.32733676092494,-451.52256306853894,-492.44788672901194,66,543.5620807111263
-522.711410673666,-509.59313719017183,-463.64368676770425,-450.110476586044,-486.7434529112825,51,442.52065825276077
-537.2299945765959,-519.6817159198029,-466.32733676092494,-451.52256306853894,-492.44788672901194,67,543.5838792473078
-530.8044033307119,-514.840793732066,-461.4639086163038,-439.80351491086975,-488.1191196411042,62,500.1309160143137
-522.711410673666,-509.59313719017183,-463.64368676770425,-450.110476586044,-486.7434529112825,50,436.8099041748792
-462.32798988676564,-436.59386614756613,-335.2925997517522,-308.3684519502593,-386.1963844635395,16,149.43753415718675
-526.2125887071132,-510.5012040257976,-462.245227591855,-447.400062115253,-486.7097297708283,46,420.8299790043384
-395.0092327104579,-373.10275001702615,-281.87566213944467,-254.63060601763195,-327.96175949665843,98,981.3330466859043
-522.5658908521676,-509.7054239441171,-463.32985052986106,-449.6770242803228,-486.55240897445753,47,430.57016748934984
-498.4144979410503,-475.6762334217522,-392.8206793727582,-369.52620567273806,-434.01079646629205,79,740.3386724181473
-533.1320154796797,-512.7198869327914,-443.77858726038653,-424.01566101381053,-479.0581654459374,39,367.2756515443325
-514.6510892211302,-498.73117806500335,-436.2330159808463,-414.75491831053637,-468.89207520181077,26,267.3165746964514
-523.5600283318755,-510.26178477684687,-464.1227875042324,-451.5127074616802,-487.4184670629565,55,449.7443032450974
-490.6802249736607,-472.20637009929294,-378.84849226347427,-353.94671401791425,-425.95882214651516,20,200.9840146638453
-475.31578532825483,-452.86629304919205,-350.29331787650165,-319.9006544882145,-402.601403187759,87,836.5722284652293
-530.8044033307118,-514.8407937320644,-461.46390861630607,-439.803514910867,-488.11911964110396,63,502.2434445563704
-388.39323620808045,-364.6362172008394,-271.6040385898009,-242.50894127960012,-319.9865599300633,99,993.3238751254976
-417.32152334508,-391.24952511856833,-305.3108756038029,-282.47159109595265,-347.9946906460183,90,911.0437168274075
-512.7100334054995,-498.8927565388579,-440.5718815541313,-422.4997520021928,-471.13852071516135,29,292.10930224508047
-513.2626380429708,-497.97941927545287,-432.70516978241704,-410.2012242046701,-466.7930357553459,25,260.76932484284043
-526.2125887071115,-510.50120402580114,-462.24522759185544,-447.40006211525395,-486.7097297708286,45,416.1092443391681
-531.349686760952,-512.6546194896283,-439.91564144647293,-413.6848159724017,-477.7598231159384,75,611.3628919702023
