X,Z,Y0,Y1,Y
179.2,0,179.7,?,179.7
170.1,0,171.8,?,171.8
196.1,0,192.2,?,192.2
196,0,193.6,?,193.6
188.3,0,185.1,?,185.1
162.8,0,168.2,?,168.2
168.5,0,172.8,?,172.8
168.7,0,171.9,?,171.9
146.7,0,163.5,?,163.5
183.2,0,182.4,?,182.4
158.4,0,167.3,?,167.3
189.7,0,186.9,?,186.9
198.3,0,195,?,195
145.8,0,160.6,?,160.6
161.1,0,169.3,?,169.3
176.3,0,176.4,?,176.4
157.1,0,166.9,?,166.9
188.6,0,185.7,?,185.7
154.3,0,164.5,?,164.5
164.2,0,170.7,?,170.7
140.4,0,159.6,?,159.6
155,0,166.6,?,166.6
197.4,0,195.4,?,195.4
139.3,0,162,?,162
186.7,0,186,?,186
190.8,0,188.5,?,188.5
166,0,171.4,?,171.4
173.9,0,174.8,?,174.8
189.1,0,184.6,?,184.6
149.9,0,164.6,?,164.6
176.7,0,178.1,?,178.1
198.7,0,195.1,?,195.1
150.8,0,162.2,?,162.2
138.1,0,159.7,?,159.7
141.4,0,161.3,?,161.3
196.1,0,192.2,?,192.2
185.6,0,183.2,?,183.2
198.2,0,194.6,?,194.6
154.4,0,164.6,?,164.6
165.1,0,171.2,?,171.2
186.7,0,185.2,?,185.2
177.8,0,176.8,?,176.8
195.1,0,190.6,?,190.6
149.3,0,161.8,?,161.8
186.8,0,184,?,184
185,0,183,?,183
199.2,0,195.3,?,195.3
173,0,174.7,?,174.7
179.7,0,178.3,?,178.3
183.9,0,180.7,?,180.7
192.1,0,189.2,?,189.2
173.8,0,176.3,?,176.3
148.2,0,162.3,?,162.3
190.1,0,187.1,?,187.1
160.6,0,168.7,?,168.7
157.2,0,167,?,167
162.3,0,168.9,?,168.9
145.3,0,162.1,?,162.1
149.3,0,164.2,?,164.2
151.7,0,164.2,?,164.2
133,0,161,?,161
182.9,0,181.8,?,181.8
150.2,0,164.8,?,164.8
190.7,0,188.2,?,188.2
158.2,0,168.1,?,168.1
170.1,0,172,?,172
154.5,0,166.3,?,166.3
177,0,179.8,?,179.8
158.1,0,167.6,?,167.6
190,0,185.9,?,185.9
198,0,194.2,?,194.2
152.7,0,163,?,163
181.3,0,179.4,?,179.4
153.8,0,165,?,165
198.4,0,195.2,?,195.2
157.8,0,165.9,?,165.9
156.6,0,164.8,?,164.8
169.2,0,171.7,?,171.7
162.5,0,169.8,?,169.8
159.9,0,166,?,166
138.1,0,160.3,?,160.3
160.8,0,168.4,?,168.4
159.9,0,166.2,?,166.2
198.6,0,194.3,?,194.3
188,0,185.9,?,185.9
150.1,0,162.8,?,162.8
171.7,0,175.2,?,175.2
192.9,0,191,?,191
161.7,0,167.5,?,167.5
181.5,0,179.7,?,179.7
156.1,0,165.5,?,165.5
170.2,0,172,?,172
187.8,0,184.1,?,184.1
187,0,184.7,?,184.7
191.1,0,189.6,?,189.6
196.7,0,193.5,?,193.5
169.8,0,172.3,?,172.3
147.2,0,164.1,?,164.1
198.5,0,197.4,?,197.4
192,0,188.9,?,188.9
146.9,0,161.7,?,161.7
183,0,181,?,181
169.4,0,172.7,?,172.7
151.4,0,162.5,?,162.5
178.6,0,179.3,?,179.3
153.5,0,166.7,?,166.7
144.4,0,163,?,163
194.3,0,191,?,191
131.6,0,159.9,?,159.9
197.5,0,194.3,?,194.3
152.1,0,164.7,?,164.7
176.6,0,176.2,?,176.2
167.3,0,170.9,?,170.9
187.2,0,184.9,?,184.9
158,0,166.7,?,166.7
142.5,0,160.5,?,160.5
150,0,163.9,?,163.9
174.1,0,176,?,176
151,0,164,?,164
161.1,0,169.1,?,169.1
181.1,0,176.1,?,176.1
176.8,0,177.9,?,177.9
151.8,0,165,?,165
163.5,0,170.2,?,170.2
150.4,0,163,?,163
155.3,0,164.9,?,164.9
193.3,0,191.2,?,191.2
157.6,0,165.7,?,165.7
184.6,0,182.4,?,182.4
149.9,0,162.7,?,162.7
189.8,0,189,?,189
135.5,0,159.1,?,159.1
150.4,0,164.2,?,164.2
188.8,0,187.9,?,187.9
196.2,0,194.2,?,194.2
183.1,0,180.6,?,180.6
150.8,0,163.2,?,163.2
175.6,0,177.3,?,177.3
135.9,0,160.2,?,160.2
198.3,0,195.6,?,195.6
167.7,0,171,?,171
197.6,0,194.8,?,194.8
137.1,0,162,?,162
148,0,162.7,?,162.7
192.7,0,189.8,?,189.8
157.2,0,165.4,?,165.4
185.6,0,184.6,?,184.6
154.5,0,164.3,?,164.3
175.5,0,176.6,?,176.6
168.1,0,170.4,?,170.4
196.2,0,191,?,191
170,0,172.9,?,172.9
196.8,0,193,?,193
184.6,0,183.4,?,183.4
188.6,0,185.1,?,185.1
182.4,0,181.4,?,181.4
135.4,0,161,?,161
158.5,0,167.1,?,167.1
198.2,0,194.6,?,194.6
165.2,0,170.1,?,170.1
149.2,0,163.7,?,163.7
190.1,0,188,?,188
175.2,0,174.6,?,174.6
172.2,0,173.8,?,173.8
198,0,195.9,?,195.9
156.4,0,165.5,?,165.5
187.3,0,183.8,?,183.8
145.9,0,164.2,?,164.2
144.5,0,161.2,?,161.2
143.6,0,160.8,?,160.8
146.8,0,162.8,?,162.8
198.6,0,195.1,?,195.1
166.7,0,170.8,?,170.8
187.8,0,185.5,?,185.5
177,0,177.9,?,177.9
198.4,0,195.4,?,195.4
134,0,159.4,?,159.4
153.6,0,164.6,?,164.6
155.4,0,164.4,?,164.4
144.7,0,161.3,?,161.3
195.5,0,191.2,?,191.2
158.1,0,167.3,?,167.3
164,0,168.4,?,168.4
177.7,0,178.6,?,178.6
189.8,0,187.3,?,187.3
193.9,0,191.5,?,191.5
163.3,0,168.7,?,168.7
180,0,179.8,?,179.8
188.1,0,186.3,?,186.3
177.3,0,177.8,?,177.8
153.8,0,162.7,?,162.7
192.4,0,189.2,?,189.2
167,0,170,?,170
191.2,0,188.8,?,188.8
148.1,0,162.9,?,162.9
168,0,171.1,?,171.1
145.1,0,163.3,?,163.3
145.2,0,162.8,?,162.8
163.2,0,167.4,?,167.4
192.5,0,189.7,?,189.7
151.1,0,162.1,?,162.1
168.9,0,173,?,173
182.9,0,182.5,?,182.5
196.9,0,193.5,?,193.5
196.8,0,193.4,?,193.4
153.3,0,162.5,?,162.5
166.2,0,171.4,?,171.4
140.4,0,162.5,?,162.5
155,0,164.1,?,164.1
179.3,0,178,?,178
135.6,0,159.1,?,159.1
147.6,0,161.3,?,161.3
181.7,0,181.2,?,181.2
133,0,158.2,?,158.2
149.7,0,162.6,?,162.6
174.3,0,174.3,?,174.3
182.8,0,182,?,182
133.6,0,160.9,?,160.9
174.1,0,174.7,?,174.7
155,0,167.2,?,167.2
