runner,Z,Y0,Y1,Y
1,0,263,257,263
2,1,261,261,261
3,0,249,249,249
4,0,266,259,266
5,1,266,260,260
6,1,265,262,262
7,1,265,259,259
8,0,263,254,263
9,1,253,246,246
10,0,262,256,262
11,0,265,260,265
12,0,268,263,268
13,1,267,259,259
14,1,266,261,261
15,1,265,260,260
16,0,266,261,266
17,1,250,243,243
18,1,267,259,259
19,0,261,258,261
20,1,250,246,246
21,0,265,258,265
22,1,264,258,258
23,0,263,260,263
24,1,262,261,261
25,0,266,260,266
26,1,266,258,258
27,1,266,260,260
28,1,265,259,259
29,1,264,257,257
30,1,266,256,256
31,0,264,259,264
32,0,250,241,250
33,1,261,261,261
34,1,251,245,245
35,0,260,260,260
36,1,265,258,258
37,0,264,259,264
38,1,266,256,256
39,1,264,262,262
40,0,250,248,250
41,1,262,260,260
42,1,265,260,260
43,0,267,259,267
44,0,264,262,264
45,0,262,262,262
46,0,266,259,266
47,1,262,259,259
48,0,268,260,268
49,1,264,260,260
50,0,252,244,252
51,1,264,259,259
52,0,266,257,266
53,0,264,260,264
54,0,247,243,247
55,1,266,261,261
56,0,266,260,266
57,1,261,255,255
58,1,265,261,261
59,0,265,262,265
60,0,264,259,264
61,1,265,258,258
62,1,265,262,262
63,1,268,259,259
64,1,264,263,263
65,0,266,257,266
66,0,263,261,263
67,0,265,262,265
68,1,265,259,259
69,1,247,242,242
70,1,248,245,245
71,1,264,259,259
72,1,264,259,259
73,0,263,255,263
74,1,263,262,262
75,0,263,261,263
76,0,262,258,262
77,0,249,246,249
78,1,265,258,258
79,0,252,243,252
80,1,263,263,263
81,0,262,259,262
82,1,264,258,258
83,1,250,246,246
84,0,264,259,264
85,1,265,260,260
86,0,264,259,264
87,1,246,240,240
88,0,264,258,264
89,1,253,246,246
90,1,267,260,260
91,1,263,263,263
92,0,268,262,268
93,1,262,260,260
94,1,250,247,247
95,1,248,244,244
96,0,265,256,265
97,1,266,258,258
98,0,266,259,266
99,0,247,248,247
100,1,251,245,245
