runner,first.race,hyperShoe,Y0,Y1,Y
1,yes,1,258,260,260
2,no,0,245,256,245
3,no,0,253,256,253
4,no,1,258,245,245
5,yes,1,258,263,263
6,yes,0,268,256,268
7,no,0,251,256,251
8,yes,1,258,260,260
9,no,1,258,243,243
10,yes,1,258,257,257
11,yes,1,258,260,260
12,yes,1,258,261,261
13,no,0,250,256,250
14,yes,1,258,257,257
15,yes,1,258,260,260
16,yes,0,265,256,265
17,yes,0,264,256,264
18,yes,1,258,259,259
19,no,1,258,248,248
20,no,1,258,244,244
21,yes,0,264,256,264
22,yes,1,258,262,262
23,yes,0,262,256,262
24,yes,1,258,256,256
25,yes,1,258,261,261
26,no,0,251,256,251
27,yes,0,266,256,266
28,yes,1,258,262,262
29,no,0,251,256,251
30,yes,0,264,256,264
