date,team,rating,conference,rating_delta,latest
2021-01-06,ATL,1377.79190382173,Eastern,5.296835647156158,1
2021-01-04,ATL,1396.89273966289,Eastern,33.58688458051542,0
2021-01-02,ATL,1416.36226775073,Eastern,47.28142611207006,0
2021-01-01,ATL,1438.85854859846,Eastern,40.40458590578368,0
2020-12-30,ATL,1415.17951392112,Eastern,9.824652713907042,0
2020-12-28,ATL,1424.01641081021,Eastern,2.5151964003966256,0
2020-12-26,ATL,1417.39293150791,Eastern,-3.206742288445084,0
2020-12-23,ATL,1394.37372694812,Eastern,-17.5410227413428,0
2020-03-11,ATL,1377.51003950502,Eastern,-20.902921061913826,0
2020-03-09,ATL,1401.54565619091,Eastern,-0.5605493043643696,0
2020-03-07,ATL,1388.59452533275,Eastern,17.05682776721784,0
2020-03-06,ATL,1394.40807209931,Eastern,28.728175543026516,0
2020-03-02,ATL,1407.77403371942,Eastern,31.489030494906064,0
2020-02-29,ATL,1421.82575337215,Eastern,31.735785750120804,0
2020-02-28,ATL,1404.31918920605,Eastern,17.627479375270767,0
2020-02-26,ATL,1388.19468298192,Eastern,20.38283171484265,0
2020-02-24,ATL,1404.11895584588,Eastern,25.129882583281248,0
2020-02-22,ATL,1409.18773291813,Eastern,15.110177129832962,0
2020-02-20,ATL,1389.63307930981,Eastern,12.350245541092878,0
2020-02-12,ATL,1367.94604690795,Eastern,15.426847063456217,0
2021-01-06,BOS,1697.50922121417,Eastern,-8.843823169904027,1
2021-01-04,BOS,1679.6273913931,Eastern,-38.16155265451564,0
2021-01-03,BOS,1658.69422593051,Eastern,-47.95184957250838,0
2021-01-01,BOS,1652.22025021761,Eastern,-49.815412952476294,0
2020-12-30,BOS,1678.263849468,Eastern,-30.898151599320087,0
2020-12-29,BOS,1672.5121602455,Eastern,-36.62341920766687,0
2020-12-27,BOS,1656.0585160408,Eastern,-47.54808015767486,0
2020-12-25,BOS,1673.43322378808,Eastern,-28.727217725172515,0
2020-12-23,BOS,1699.38938751754,Eastern,-25.232760308852406,0
2020-09-27,BOS,1689.52377809166,Eastern,-20.75216858082198,0
2020-09-25,BOS,1702.84501232824,Eastern,-19.08855535670803,0
2020-09-23,BOS,1690.08602042943,Eastern,-33.41855453459417,0
